id,Week,Day,Match,Game,Blue,Red,Winner,blue_ban_1,blue_ban_2,blue_ban_3,blue_ban_4,blue_pick_1,blue_pick_2,blue_pick_3,blue_pick_4,blue_pick_5,red_ban_1,red_ban_2,red_ban_3,red_ban_4,red_pick_1,red_pick_2,red_pick_3,red_pick_4,red_pick_5
34,3,1,15,2,Toyota Diamond Cobra,Evos.Debut,Toyota Diamond Cobra,Omen,Annette,Zill,Nakroth,Riktor,Kriknak,Veres,Superman,Lauriel,Florentino,Sephera,Ilumia,Elsu,Y'bneth,Liliana,Maloch,Xeniel,Slimz
35,3,1,16,1,Mega Ignition,Bazaar Gaming,Bazaar Gaming,Elsu,Sephera,Tulen,Liliana,Riktor,Kriknak,Baldum,Wisp,Kahlii,Florentino,Veres,The Joker,Xeniel,Tel'Annas,Omen,TeeMee,Ilumia,Quillen
36,3,1,16,2,Mega Ignition,Bazaar Gaming,Bazaar Gaming,Elsu,Sephera,Xeniel,Superman,Veres,Tel'Annas,Liliana,Annette,The Joker,Florentino,Riktor,TeeMee,Omen,Kriknak,Baldum,Tel'Annas,Max,Kahlii
37,3,1,17,1,Workpoint Fighting Fish,Buriram United,Buriram United,Quillen,TeeMee,Aleister,Ilumia,Elsu,Riktor,Omen,Raz,Zill,Florentino,Sephera,Maloch,Liliana,Kriknak,Veres,Baldum,Lindis,The Flash
38,3,1,17,2,Workpoint Fighting Fish,Buriram United,Buriram United,TeeMee,Quillen,Baldum,Tel'Annas,Elsu,Riktor,Liliana,Murad,Y'bneth,Florentino,Sephera,Zill,Xeniel,Kriknak,Veres,Ilumia,Lindis,Arum
39,3,2,18,1,Mega Ignition,AHQ Esport Club,Mega Ignition,Sephera,Elsu,Tel'Annas,Valhein,Omen,Y'bneth,Riktor,Lindis,Aleister,Florentino,Veres,Kahlii,Ilumia,Baldum,Kriknak,Liliana,Arum,Wisp
40,3,2,18,2,Mega Ignition,AHQ Esport Club,Mega Ignition,Sephera,Elsu,Y'bneth,TeeMee,Omen,Baldum,Tel'Annas,Quillen,Kahlii,Florentino,Veres,Ilumia,Lindis,Riktor,Kriknak,Wisp,Liliana,Thane
41,3,2,19,1,Bazaar Gaming,RRQ Black Forest,Bazaar Gaming,Elsu,Riktor,Kahlii,Violet,Veres,Sephera,Tel'Annas,Murad,Marja,Florentino,Baldum,Annette,Y'bneth,Omen,TeeMee,Superman,Kriknak,Liliana
42,3,2,19,2,RRQ Black Forest,Bazaar Gaming,Bazaar Gaming,Florentino,Sephera,Tulen,Tel'Annas,Riktor,TeeMee,Kahlii,Lindis,Arum,Elsu,Veres,Ryoma,The Joker,Baldum,Omen,Quillen,The Flash,Valhein
43,3,3,20,1,RRQ Black Forest,Buriram United,Buriram United,Elsu,Veres,Y'bneth,Arum,Omen,Quillen,Baldum,Kahlii,Violet,Florentino,Sephera,Wisp,The Joker,Riktor,Tel'Annas,Kriknak,Aleister,Mina
44,3,3,20,2,Buriram United,RRQ Black Forest,Buriram United,Tel'Annas,Kriknak,Wisp,Valhein,Sephera,Veres,Riktor,Baldum,Violet,Elsu,Florentino,Nakroth,Lindis,Omen,Quillen,TeeMee,Aleister,Yorn
